Municipio,Provincia,Lugar,Dirección,Fecha,Hora,Ojo,Latitud,Longitud,Convoca,Marca en porceuta.es,Notas,Estado,Fuente
Zurgena,Almería,Puerta del Ayuntamiento,Puerta del Ayuntamiento,2026-09-02,20:00,,"37,342","-2,039",Ayuntamiento de Zurgena / FEMP,Difundida,,Retirada · no aparece en el listado oficial del 29 de agosto,Ambas
Castrillón,Asturias,Ayuntamiento,"Ayuntamiento, 33450",2026-09-02,20:00,,"43,559455","-5,977679",,Sin confirmar,,Publicada,Ambas
Coaña,Asturias,Plaza del Ayuntamiento,"Plaza del Ayuntamiento, 33795",2026-09-02,20:00,,"43,512626","-6,761011",,Sin confirmar,El punto del mapa es aproximado: señala el centro del municipio.,Publicada,Ambas
Gijón,Asturias,Plaza Mayor,"Plaza Mayor, Gijón, 33201",2026-09-02,20:00,,"43,5449908","-5,6625808",,Confirmada,Recogido de prensa (El Diario de Madrid),Retirada · el listado oficial la marca sin confirmar: sin datos de convocatoria oficial,Ambas
Lena,Asturias,"Frente al Ayuntamiento de Lena, C. Vital Aza 20","Frente al Ayuntamiento de Lena, C. Vital Aza 20",2026-09-02,20:00,,"43,1586","-5,8292",,,El punto del mapa es aproximado.,Retirada · no aparece en el listado oficial del 29 de agosto,Listado oficial
Lena (La Pola),Asturias,"Frente al Ayuntamiento de Lena, C. Vital Aza 20",,2026-09-02,20:00,,"43,1586","-5,8292",PP de Lena,Confirmada,NUEVA | Revisado 28/08/2026. Coordenadas asociadas al place indicado.,Solo en porceuta.es,porceuta.es
Navia,Asturias,Ayuntamiento,"Ayuntamiento, 33710",2026-09-02,20:00,,"43,539038","-6,723468",,Sin confirmar,El punto del mapa es aproximado.,Publicada,Ambas
Oviedo,Asturias,Plaza de la Constitución,,2026-09-02,20:00,,"43,3604618","-5,844829",,Confirmada,,Solo en porceuta.es,porceuta.es
Oviedo,Asturias,Plaza de la Escandalera,"Plaza de la Escandalera, Oviedo",2026-09-02,20:00,,"43,3622053","-5,8480485",,,"Recogido de prensa (El Diario de Madrid) Otras fuentes sitúan la concentración en la Plaza de la Constitución, frente al Ayuntamiento, a 300 metros de aquí (fuentes discrepan).",Publicada,Listado oficial
RIBADESELLA,Asturias,Plaza de Maria Cristina,,2026-09-02,20:00,,"43,4456557","-5,0835484",,Sin confirmar,,Solo en porceuta.es,porceuta.es
Tapia de Casariego,Asturias,Ayuntamiento,Ayuntamiento,2026-09-02,20:00,,"43,570064","-6,944029",,Sin confirmar,El punto del mapa es aproximado.,Publicada,Ambas
Arenas de San Pedro,Ávila,Plaza del Ayuntamiento,Plaza del Ayuntamiento,2026-09-02,20:00,,"40,208891","-5,090612",,Sin confirmar,,Publicada,Ambas
Arévalo,Ávila,Plaza del Real,Plaza del Real,2026-09-02,20:00,,"41,063276","-4,719892",Ayuntamiento de Arévalo,Difundida,,Publicada,Ambas
